시점,1인당 가계총처분가능소득(명목) (만원)
1975,23.1
1976,30.8
1977,38.7
1978,51.6
1979,64.1
1980,73.9
1981,91.6
1982,102.3
1983,116.5
1984,133.4
1985,148.1
1986,171.4
1987,199.8
1988,232.9
1989,264
1990,313.4
1991,387
1992,438.4
1993,489.1
1994,562.9
1995,632.7
1996,712.9
1997,762.5
1998,791.3
1999,817.8
2000,859.2
2001,913.2
2002,979.8
2003,1032.2
2004,1107.2
2005,1154.4
2006,1201.2
2007,1267.6
2008,1342.7
2009,1382.4
2010,1458.2
2011,1527.4
2012,1581.5
2013,1648.2
2014,1705.2
2015,1814.7
2016,1852.5
2017,1913.3
2018,1987.4
2019,2047.4
2020,2118.5
2021,2231.7
