시점,1인당 국내총생산(명목) (만원)
1953,0.2
1954,0.3
1955,0.5
1956,0.7
1957,0.9
1958,0.9
1959,0.9
1960,1
1961,1.2
1962,1.4
1963,1.9
1964,2.6
1965,2.9
1966,3.6
1967,4.4
1968,5.5
1969,7
1970,8.7
1971,10.5
1972,12.7
1973,16.2
1974,22.8
1975,29.9
1976,40.4
1977,51.1
1978,68
1979,86.3
1980,104.2
1981,128.3
1982,145.7
1983,170.6
1984,194.5
1985,216
1986,249.9
1987,292.4
1988,347.3
1989,390.6
1990,467.8
1991,560.1
1992,634.4
1993,713.2
1994,834.4
1995,969.1
1996,1078.2
1997,1179.5
1998,1160.6
1999,1268.8
2000,1386.2
2001,1492.5
2002,1647.1
2003,1748.4
2004,1889.3
2005,1987
2006,2076
2007,2238.2
2008,2352.9
2009,2444.5
2010,2669
2011,2781.4
2012,2868.8
2013,2976.1
2014,3079.9
2015,3250.1
2016,3398.8
2017,3574
2018,3678.2
2019,3721.8
2020,3744
2021,4003.6
