시점,요소비용국민소득(명목) (십억원)
1953,42.6
1954,58.6
1955,101.3
1956,135.2
1957,175.6
1958,181.2
1959,188.6
1960,214.3
1961,262.2
1962,314.8
1963,460.2
1964,668.6
1965,740.9
1966,950.3
1967,1171.1
1968,1480
1969,1928
1970,2430
1971,2946.4
1972,3662.8
1973,4698.3
1974,6653.9
1975,8618.8
1976,11735.6
1977,15022.3
1978,20431.8
1979,25951.3
1980,30905.1
1981,38407.9
1982,44092.4
1983,51786.3
1984,60400.5
1985,67127.1
1986,78443
1987,93588.7
1988,112888.5
1989,129311.2
1990,154216.8
1991,188965.6
1992,213327
1993,242099.4
1994,286081.3
1995,328616.9
1996,364157
1997,397289.4
1998,382319.3
1999,420383.5
2000,466075.3
2001,502838
2002,564311.1
2003,602692.2
2004,662698.2
2005,691776.2
2006,728236.3
2007,792507.9
2008,828123.1
2009,859286.3
2010,953725.5
2011,1002826.4
2012,1041626.9
2013,1086725.1
2014,1128904.1
2015,1196864.4
2016,1256956.7
2017,1326542.8
2018,1364946
2019,1374935
2020,1365736.5
2021,1450859.9
