시점,지역내총생산(명목) - 광주광역시 (백만원)
1987,2330249
1988,3068929
1989,3518507
1990,4501875
1991,5356963
1992,6226960
1993,7005932
1994,8339976
1995,9881183
1996,11175427
1997,12098989
1998,11478764
1999,12284576
2000,13633077
2001,14959494
2002,16632710
2003,17281413
2004,18380958
2005,20096118
2006,21635408
2007,23470470
2008,24213929
2009,25191120
2010,27882311
2011,28678421
2012,29773635
2013,31263021
2014,33016736
2015,34845589
2016,36819006
2017,37743917
2018,39805406
2019,41519553
2020,41645971
