시점,지역내총생산(명목) - 대구광역시(백만원)
1985,3940271
1986,4684045
1987,5589706
1988,6345089
1989,7072877
1990,8757279
1991,10103933
1992,11203266
1993,12232051
1994,14437840
1995,16708934
1996,18698757
1997,20559496
1998,19669133
1999,21353129
2000,23252630
2001,24857987
2002,27065894
2003,28643337
2004,31089716
2005,32139659
2006,33816014
2007,36154426
2008,37335462
2009,37943622
2010,40617109
2011,42635794
2012,44843273
2013,46904660
2014,48817678
2015,51822013
2016,53167211
2017,54832958
2018,56714479
2019,58094694
2020,57961275
