시점,지역내총생산(명목) - 전라남도 (백만원)
1985,6617512
1986,7495647
1987,6280628
1988,7700766
1989,8340586
1990,9955193
1991,12205376
1992,14419516
1993,16261663
1994,17723658
1995,22127635
1996,24659934
1997,28374041
1998,28991271
1999,29731676
2000,31433112
2001,33597018
2002,36130604
2003,39239142
2004,44219709
2005,44343551
2006,44465581
2007,49493679
2008,54111971
2009,53015444
2010,61792939
2011,63233950
2012,64522380
2013,66475876
2014,66215322
2015,68878376
2016,71615402
2017,73732402
2018,75424584
2019,76948280
2020,78104856
