시점,지역내총생산(명목) - 전라북도 (백만원)
1985,3458409
1986,3964616
1987,4352185
1988,5125538
1989,5625315
1990,6625613
1991,8026072
1992,9421182
1993,10637775
1994,13296435
1995,14936314
1996,17085565
1997,18722352
1998,17858694
1999,19333144
2000,20816142
2001,22216502
2002,23736691
2003,24751250
2004,26638816
2005,27104543
2006,28759657
2007,30806405
2008,32826334
2009,35701674
2010,37740823
2011,40037810
2012,41200316
2013,43478228
2014,45151703
2015,47018028
2016,47879046
2017,49348477
2018,50595318
2019,51997535
2020,53177897
