시점,지역내총생산(명목) - 충청북도 (백만원)
1985,3130073
1986,3293432
1987,3666631
1988,4325367
1989,5028578
1990,6146095
1991,7557940
1992,8754346
1993,10207303
1994,12354043
1995,14843152
1996,16793959
1997,17561395
1998,17274033
1999,19505512
2000,20609497
2001,21575693
2002,23307428
2003,24823269
2004,28112862
2005,28095938
2006,30434623
2007,32758094
2008,33762843
2009,35601751
2010,40324269
2011,43343230
2012,45510059
2013,47737291
2014,50081510
2015,55191633
2016,59671234
2017,65312366
2018,69636876
2019,69419635
2020,71298882
