시점,지역내총생산(실질) - 경상남도 (백만원)
1985,24375901
1986,26803117
1987,29672028
1988,33557592
1989,35595998
1990,39848523
1991,46278237
1992,50866079
1993,53008094
1994,60723218
1995,68113992
1996,72412697
1997,79696351
1998,47958037
1999,53563712
2000,57821766
2001,61928632
2002,66357305
2003,68827444
2004,71667409
2005,76018607
2006,80266127
2007,85284496
2008,89539592
2009,92664822
2010,98297235
2011,101258402
2012,103911994
2013,104475348
2014,104843574
2015,106590936
2016,107343355
2017,106561346
2018,107224316
2019,109370902
2020,104874046
