시점,임금근로자
1963,2383000
1964,2363000
1965,2609000
1966,2780000
1967,3040000
1968,3400000
1969,3547000
1970,3746000
1971,3923000
1972,4005000
1973,4153000
1974,4444000
1975,4751000
1976,5140000
1977,5714000
1978,6242000
1979,6479000
1980,6464000
1981,6605000
1982,6839000
1983,7170000
1984,7631000
1985,8104000
1986,8433000
1987,9191000
1988,9610000
1989,10390000
1990,10950000
1991,11699000
1992,11911000
1993,11944000
1994,12479000
1995,12899000
1996,13200000
1997,13404000
1998,12296000
1999,12663000
2000,13356000
2001,13659000
2002,14206000
2003,14449000
2004,14936000
2005,15186000
2006,15608000
2007,16095000
2008,16357000
2009,16586000
2010,17111000
2011,17596000
2012,17921000
2013,18365000
2014,18959000
2015,19402000
2016,19669000
2017,19934000
2018,20084000
2019,20440000
2020,20332000
2021,20753000
